etab_identifiant_de_l_etablissement;etab_nom_etablissement;etab_adresse_1;etab_adresse_2;etab_adresse_3;etab_code_postal;etab_nom_commune;etab_libelle_departement;etab_libelle_academie;etab_fiche_onisep;etab_type_etablissement;etab_statut_public_prive;etab_libelle_nature;etab_telephone;etab_mail;etab_web;etab_latitude;etab_longitude;course_code;course_univers;course_niveau;course_formTypeSigle;course_formTypeLib;course_formLib;course_formSigle;course_rncp;course_codeSco;course_urlOnisep;course_color
0931613Y;Lycée Louise Michel;70 avenue Jean Jaurès;;;93000;Bobigny;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.873;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 48 10 22 44;ce.0931613y@ac-creteil.fr;http://louisemichelbobigny.fr/;48.902080737124066;2.440758244161289;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0754086J;Lycée privé Charles de Foucauld;5 rue de la Madone;;;75018;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6617;Lycée;Privé;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 46 07 72 59;administratif@lamadone.fr;http://www.lamadone.fr;48.89260687899484;2.361191067765284;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0754086J;Lycée privé Charles de Foucauld;5 rue de la Madone;;;75018;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6617;Lycée;Privé;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 46 07 72 59;administratif@lamadone.fr;http://www.lamadone.fr;48.89260687899484;2.361191067765284;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0783545E;Ecole Supérieure ENSUP;1 square Benjamin Franklin;;78180 MONTIGNY LE BRETONNEUX;78180;Montigny-le-Bretonneux;Yvelines;Versailles;;;Privé;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;;48.79225614998042;2.050791570727622;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0783545E;Ecole Supérieure ENSUP;1 square Benjamin Franklin;;78180 MONTIGNY LE BRETONNEUX;78180;Montigny-le-Bretonneux;Yvelines;Versailles;;;Privé;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;;48.79225614998042;2.050791570727622;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0783545E;Ecole Supérieure ENSUP;1 square Benjamin Franklin;;78180 MONTIGNY LE BRETONNEUX;78180;Montigny-le-Bretonneux;Yvelines;Versailles;;;Privé;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;;48.79225614998042;2.050791570727622;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0783545E;Ecole Supérieure ENSUP;1 square Benjamin Franklin;;78180 MONTIGNY LE BRETONNEUX;78180;Montigny-le-Bretonneux;Yvelines;Versailles;;;Privé;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;;48.79225614998042;2.050791570727622;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0783545E;Ecole Supérieure ENSUP;1 square Benjamin Franklin;;78180 MONTIGNY LE BRETONNEUX;78180;Montigny-le-Bretonneux;Yvelines;Versailles;;;Privé;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;;48.79225614998042;2.050791570727622;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0911251R;Lycée Parc des Loges;Boulevard des Champs Elysées;;;91012;Evry-Courcouronnes;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.964;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 60 77 61 72;0911251R@ac-versailles.fr;http://www.lyc-parc-evry.ac-versailles.fr/;48.626017144327726;2.4240720744403896;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0911251R;Lycée Parc des Loges;Boulevard des Champs Elysées;;;91012;Evry-Courcouronnes;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.964;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 60 77 61 72;0911251R@ac-versailles.fr;http://www.lyc-parc-evry.ac-versailles.fr/;48.626017144327726;2.4240720744403896;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0755724P;Institut Privé Supérieur des Systèmes d'Information;25 rue Claude Tillier;;75012 PARIS;75012;Paris 12e  Arrondissement;Paris;Paris;;;Privé;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;;48.848501589103904;2.388401458528449;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0755724P;Institut Privé Supérieur des Systèmes d'Information;25 rue Claude Tillier;;75012 PARIS;75012;Paris 12e  Arrondissement;Paris;Paris;;;Privé;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;;48.848501589103904;2.388401458528449;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0932618R;Lycée technologique privé Robert Schuman;5 avenue du Général de Gaulle;;;93440;Dugny;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17544;Lycée;Privé;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;01 48 37 74 26;administration@lyceerobertschuman.com;http://www.lyceerobertschuman.com/;48.9489464222051;2.41462548035602;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0932618R;Lycée technologique privé Robert Schuman;5 avenue du Général de Gaulle;;;93440;Dugny;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17544;Lycée;Privé;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;01 48 37 74 26;administration@lyceerobertschuman.com;http://www.lyceerobertschuman.com/;48.9489464222051;2.41462548035602;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0754042L;Lycée privé Le Rebours;44 boulevard Auguste Blanqui;;;75013;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3662;Lycée;Privé;LYCEE POLYVALENT;01 55 43 28 88;secretariat@lerebours.org;http://www.lerebours.org;48.83014424738715;2.3504442169888615;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0754042L;Lycée privé Le Rebours;44 boulevard Auguste Blanqui;;;75013;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3662;Lycée;Privé;LYCEE POLYVALENT;01 55 43 28 88;secretariat@lerebours.org;http://www.lerebours.org;48.83014424738715;2.3504442169888615;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0750712S;Lycée Diderot;61 rue David d'Angers;;;75019;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15576;Lycée;Public;LYCEE POLYVALENT;01 40 40 36 36;ce.0750712S@ac-paris.fr;http://www.diderot.org;48.88151208852299;2.39587754134031;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0750712S;Lycée Diderot;61 rue David d'Angers;;;75019;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15576;Lycée;Public;LYCEE POLYVALENT;01 40 40 36 36;ce.0750712S@ac-paris.fr;http://www.diderot.org;48.88151208852299;2.39587754134031;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0750707L;Ecole nationale de commerce;70 boulevard Bessières;;;75017;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6093;Lycée;Public;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;01 44 85 85 00;ce.0750707L@ac-paris.fr;http://www.enc-bessieres.org;48.89725568365589;2.3207037852287247;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0750707L;Ecole nationale de commerce;70 boulevard Bessières;;;75017;Paris;Paris;Paris;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6093;Lycée;Public;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;01 44 85 85 00;ce.0750707L@ac-paris.fr;http://www.enc-bessieres.org;48.89725568365589;2.3207037852287247;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0770922J;Lycée Gaston Bachelard;32 avenue de l'Europe;BP 25 B;;77500;Chelles;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6885;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 64 72 88 88;ce.0770922j@ac-creteil.fr;http://www.lyceebachelardchelles.fr/;48.88331912136845;2.6127267806892163;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0931797Y;Lycée polyvalent privé La Salle Saint-Denis;6-8 place de la Résistance;;;93200;Saint-Denis;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15152;Lycée;Privé;LYCEE POLYVALENT;01 55 87 45 00;contact@lasallesaintdenis.com;https://www.lasallesaintdenis.com;48.93281417844132;2.3550342810074176;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0940113M;Lycée Langevin Wallon;126 avenue Roger Salengro;;;94500;Champigny-sur-Marne;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14932;Lycée;Public;LYCEE POLYVALENT;01 48 81 28 33;ce.0940113M@ac-creteil.fr;http://www.lycee-langevin-wallon.com;48.816826741365325;2.498317131240832;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0771238C;Lycée Saint-Aspais;36 rue Saint-Barthélemy;CS 20179;;77007;Melun;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12881;Lycée;Privé;LYCEE POLYVALENT;01 60 56 59 59;secretariat@institutionsaintaspais.fr;http://www.institutionsaintaspais.fr;48.542187019437556;2.6554008685423067;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0771238C;Lycée Saint-Aspais;36 rue Saint-Barthélemy;CS 20179;;77007;Melun;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12881;Lycée;Privé;LYCEE POLYVALENT;01 60 56 59 59;secretariat@institutionsaintaspais.fr;http://www.institutionsaintaspais.fr;48.542187019437556;2.6554008685423067;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0940118T;Lycée Louis Armand;173 boulevard de Strasbourg;;;94130;Nogent-sur-Marne;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12213;Lycée;Public;LYCEE POLYVALENT;01 45 14 28 28;ce.0940118T@ac-creteil.fr;http://www.larmand.fr;48.8467161140249;2.4913060633969635;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0940118T;Lycée Louis Armand;173 boulevard de Strasbourg;;;94130;Nogent-sur-Marne;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12213;Lycée;Public;LYCEE POLYVALENT;01 45 14 28 28;ce.0940118T@ac-creteil.fr;http://www.larmand.fr;48.8467161140249;2.4913060633969635;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0940118T;Lycée Louis Armand;173 boulevard de Strasbourg;;;94130;Nogent-sur-Marne;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12213;Lycée;Public;LYCEE POLYVALENT;01 45 14 28 28;ce.0940118T@ac-creteil.fr;http://www.larmand.fr;48.8467161140249;2.4913060633969635;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0940118T;Lycée Louis Armand;173 boulevard de Strasbourg;;;94130;Nogent-sur-Marne;Val-de-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12213;Lycée;Public;LYCEE POLYVALENT;01 45 14 28 28;ce.0940118T@ac-creteil.fr;http://www.larmand.fr;48.8467161140249;2.4913060633969635;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0772223Y;Lycée René Descartes;4 boulevard Copernic;;;77420;Champs-sur-Marne;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4072;Lycée;Public;LYCEE POLYVALENT;01 64 68 25 07;ce.0772223y@ac-creteil.fr;https://www.rene-descartes.fr/;48.84485873497132;2.5859255385350295;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0772223Y;Lycée René Descartes;4 boulevard Copernic;;;77420;Champs-sur-Marne;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4072;Lycée;Public;LYCEE POLYVALENT;01 64 68 25 07;ce.0772223y@ac-creteil.fr;https://www.rene-descartes.fr/;48.84485873497132;2.5859255385350295;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0770934X;Lycée polyvalent Léonard de Vinci;2 bis rue Edouard Branly;;;77000;Melun;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8908;Lycée;Public;LYCEE POLYVALENT;01 60 56 60 60;ce.0770934x@ac-creteil.fr;http://www.vinci-melun.org;48.55108679994959;2.659903143940967;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0770934X;Lycée polyvalent Léonard de Vinci;2 bis rue Edouard Branly;;;77000;Melun;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8908;Lycée;Public;LYCEE POLYVALENT;01 60 56 60 60;ce.0770934x@ac-creteil.fr;http://www.vinci-melun.org;48.55108679994959;2.659903143940967;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0930126G;Lycée polyvalent Auguste Blanqui;54 rue Charles Schmidt;BP 196;;93400;Saint-Ouen;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4177;Lycée;Public;LYCEE POLYVALENT;01 49 18 16 80;ce.0930126G@ac-creteil.fr;http://lyceeaugusteblanqui.fr;48.90303260775702;2.333941143279612;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0930126G;Lycée polyvalent Auguste Blanqui;54 rue Charles Schmidt;BP 196;;93400;Saint-Ouen;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4177;Lycée;Public;LYCEE POLYVALENT;01 49 18 16 80;ce.0930126G@ac-creteil.fr;http://lyceeaugusteblanqui.fr;48.90303260775702;2.333941143279612;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0930125F;Lycée Paul Eluard;15-17 avenue Jean Moulin;;;93200;Saint-Denis;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10067;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 49 71 70 00;ce.0930125F@ac-creteil.fr;http://www.lyceepauleluard.fr;48.9412972594893;2.364486504485791;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0930125F;Lycée Paul Eluard;15-17 avenue Jean Moulin;;;93200;Saint-Denis;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10067;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 49 71 70 00;ce.0930125F@ac-creteil.fr;http://www.lyceepauleluard.fr;48.9412972594893;2.364486504485791;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0920144G;Lycée Agora;120 rue de Verdun;;;92800;Puteaux;Hauts-de-Seine;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9287;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 45 06 06 41;ce.0920144g@ac-versailles.fr;http://www.lyc-agora-puteaux.ac-versailles.fr/;48.8781270152994;2.2347074545536483;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0931272C;Lycée Gustave Eiffel;16 chemin de la Renardière;;;93220;Gagny;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4173;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 43 02 80 36;ce.0931272C@ac-creteil.fr;http://www.eiffel-gagny.org;48.88870710130037;2.5412578188344055;FOR.8473;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option B électronique et réseaux;CIEL ER;37391;32025521;http://www.onisep.fr/http/redirection/formation/slug/FOR.8473;#ff3d3d
0931272C;Lycée Gustave Eiffel;16 chemin de la Renardière;;;93220;Gagny;Seine-Saint-Denis;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4173;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 43 02 80 36;ce.0931272C@ac-creteil.fr;http://www.eiffel-gagny.org;48.88870710130037;2.5412578188344055;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0755931P;INSTA  Institut National Supérieur des Technologies Avancées et de la comptabilité;17 rue Linné;;75005 PARIS;75005;Paris  5e  Arrondissement;Paris;Paris;;;Privé;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;;48.844841440021554;2.354550575930459;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0755931P;INSTA  Institut National Supérieur des Technologies Avancées et de la comptabilité;17 rue Linné;;75005 PARIS;75005;Paris  5e  Arrondissement;Paris;Paris;;;Privé;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;;;;48.844841440021554;2.354550575930459;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0910620E;Lycée Robert Doisneau;89 avenue Serge Dassault;;;91813;Corbeil-Essonnes;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15207;Lycée;Public;LYCEE POLYVALENT;01 60 88 81 81;0910620E@ac-versailles.fr;http://www.lyc-doisneau-corbeil.ac-versailles.fr;48.61309766332666;2.4592777190707977;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
0780582J;Lycée Jean Vilar;1033 avenue du Général de Gaulle;;;78370;Plaisir;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1652;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 30 55 18 77;0780582j@ac-versailles.fr;http://www.lyc-vilar-plaisir.ac-versailles.fr;48.82347544878373;1.9587495019230712;FOR.5337;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option B : solutions logicielles et applications métiers;BTS SIO SLAM;35340;32032614;http://www.onisep.fr/http/redirection/formation/slug/FOR.;#ff3d3d
0780582J;Lycée Jean Vilar;1033 avenue du Général de Gaulle;;;78370;Plaisir;Yvelines;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1652;Lycée;Public;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;01 30 55 18 77;0780582j@ac-versailles.fr;http://www.lyc-vilar-plaisir.ac-versailles.fr;48.82347544878373;1.9587495019230712;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0771027Y;Lycée polyvalent Frédéric Joliot-Curie;168 rue Frédéric Joliot-Curie;BP 36;;77196;Dammarie-les-Lys;Seine-et-Marne;Créteil;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14374;Lycée;Public;LYCEE POLYVALENT;01 64 39 34 34;ce.0771027y@ac-creteil.fr;http://www.lyceejoliotcurie77.fr;48.519074047945075;2.648301348133944;FOR.3732;sécu;5;BTS;brevet de technicien supérieur;BTS Management opérationnel de la sécurité;MOS;35393;32034401;http://www.onisep.fr/http/redirection/formation/slug/FOR.3732;#3dff3d
0910727W;Lycée Parc de Vilgénis;80 rue de Versailles;BP 112;;91300;Massy;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5786;Lycée;Public;LYCEE POLYVALENT;01 69 53 74 00;0910727w@ac-versailles.fr;http://www.vilgenis.fr;48.73154786458686;2.254524266984075;FOR.5987;cyber;5;BTS;brevet de technicien supérieur;BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux;BTS SIO SISR;35340;32032613;http://www.onisep.fr/http/redirection/formation/slug/FOR.5987;#ff3d3d
0910727W;Lycée Parc de Vilgénis;80 rue de Versailles;BP 112;;91300;Massy;Essonne;Versailles;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5786;Lycée;Public;LYCEE POLYVALENT;01 69 53 74 00;0910727w@ac-versailles.fr;http://www.vilgenis.fr;48.73154786458686;2.254524266984075;FOR.8472;cyber;5;BTS;brevet de technicien supérieur;BTS cybersécurité, informatique et réseaux, électronique option A informatique et réseaux;CIEL IR;37391;32020116;http://www.onisep.fr/http/redirection/formation/slug/FOR.8472;#ff3d3d
